Fecha y Hora,Generación turbina kW,"Velocidad de viento en 110.0 metros [mean,m/s]","Dirección del viento en 108.0 metros [mean,grados]","Dirección del viento en 20.0 metros [mean,grados]","Radiación Solar Global Horizontal [mean,W/m2]","Presión Atmosférica [mean,hPa]","Temperatura en 108.0 metros [mean,C]","Humedad Relativa en 108.0 metros [mean,%]",Dia Juliano
2024-02-10 10:00:00,0.0,2.7711945,166.06666666666666,167.91666666666666,939.7576833333333,754.6838666666666,20.57166666666667,18.116666666666667,738926.0
2024-02-10 11:00:00,7.878787878787879,4.399469,220.01666666666665,219.21666666666667,1097.5895,754.6170000000001,21.17,17.45,738926.0
2024-02-10 12:00:00,131.5151515151515,4.171068833333334,180.76833333333335,184.28666666666666,1176.4065,754.4485833333333,21.933333333333334,17.153333333333332,738926.0
2024-02-10 13:00:00,252.42424242424244,7.686093,214.11666666666667,215.88333333333333,1146.355,754.0293833333334,21.628333333333334,21.331666666666667,738926.0
2024-02-10 14:00:00,304.54545454545456,8.620104333333334,208.5666666666667,217.88333333333333,1088.5466666666666,753.7243166666667,21.0,23.543333333333333,738926.0
2024-02-10 15:00:00,303.6363636363636,7.706994166666667,197.83333333333334,202.04999999999998,912.0793333333332,753.6060000000001,20.68,26.349999999999998,738926.0
2024-02-10 16:00:00,303.030303030303,8.800080833333334,201.6833333333333,209.95000000000002,718.6214666666666,753.1379166666667,19.735,30.429999999999996,738926.0
2024-02-10 17:00:00,303.030303030303,9.032492666666666,197.61666666666667,205.75,463.0563333333334,752.9772833333333,18.918333333333333,33.47,738926.0
2024-02-10 18:00:00,868.7878787878788,8.618799666666666,191.75,199.6,201.10551666666666,752.8679000000001,17.643333333333334,38.24,738926.0
2024-02-10 19:00:00,863.6363636363636,6.401204833333334,188.79999999999998,199.20000000000002,18.6492073,752.8667833333334,16.003333333333334,43.58166666666667,738926.0
2024-02-10 20:00:00,387.8787878787879,4.297978,161.03333333333333,179.46666666666667,0.0,752.8428166666666,14.575000000000001,49.365,738926.0
2024-02-10 21:00:00,68.18181818181819,4.722669,130.45000000000002,121.83333333333333,0.0,752.8847999999999,14.635,51.906666666666666,738926.0
